"","x"
"1052","Language of Flowers"
"1053","Patrick Moraz"
"1054","Boots Randolph"
"1055","Magna Carta"
"1056","Tony Trischka"
"1057","Eleventh Dream Day"
"1058","Gaunt"
"1059","Thomas Leer"
"1060","Abacus"
"1061","David Bromberg"
"1062","Mance Lipscomb"
"1063","Sl2"
"1064","Stars Like Fleas"
"1065","Jonston"
"1066","Epic Hero"
"1067","Claude King"
"1068","Sam Mangwana"
"1069","Free Loan Investments"
"1070","Jomanda"
"1071","David Porter"
"1072","Righteous Pigs"
"1073","Diana Dors"
"1074","Dark Soho"
"1075","Gillan"
"1076","Future Cut"
"1077","Dwayne Sodahberk"
"1078","Joe Hill Louis"
"1079","The Pink Fairies"
"1080","Meli'sa Morgan"
"1081","PWRFL Power"
"1082","Super Heroines"
"1083","Cool For August"
"1084","Hamster Theatre"
"1085","The Spotnicks"
"1086","Alton Ellis And The Flames"
"1087","Sandra Oxenryd"
"1088","Fernando Samalea"
"1089","Tstewart"
"1090","Blectum from Blechdom"
"1091","Bleep"
"1092","Success Will Write Apocalypse Across The Sky"
"1093","Don McGlashan"
"1094","Silicon Scally"
"1095","Dave Joy"
"1096","Michael Gettel"
"1097","Paul Butterfield"
"1098","The Space Brothers"
"1099","Gustavo Lins"
"1100","K. Sparks"
"1101","Eric Champion"
"1102","Ashley Hutchings"
"1103","The Brother Kite"
"1104","Lola Beltrán"
"1105","David Peel and The Lower East Side"
"1106","Quickspace"
"1107","London MC"
"1108","Martin Tielli"
"1109","Lieutenant Pigeon"
"1110","Vivian Stanshall"
"1111","DJ Ogi"
"1112","Ex-Girl"
"1113","Moodswings"
"1114","Red Aunts"
"1115","Ben Ricour"
"1116","Freibeuter AG"
"1117","I Hate Sally"
"1118","After The Fire"
"1119","Alice Peacock"
"1120","Christian Bruhn"
"1121","Silmarils"
"1122","DJ Flavours"
"1123","Julius Hemphill"
"1124","Grade 8"
"1125","Inger Marie Gundersen"
"1126","Rockin' Rebels"
"1127","The Four Lads"
"1128","Flanders"
"1129","Triston Palmer"
"1130","SJ Esau"
"1131","Scud Mountain Boys"
"1132","Amistades Peligrosas"
"1133","Let's Go Bowling"
"1134","Seventh Key"
"1135","Sandy Marton"
"1136","Geggy Tah"
"1137","The International Submarine Band"
"1138","FDEL"
"1139","Rappers Against Racism feat. Trooper"
"1140","Aquasky"
"1141","Patti Drew"
"1142","Gershon Kingsley"
"1143","Shaun Escoffery"
"1144","Da Youngsta's"
"1145","Scotty D. revisits U1"
"1146","37500 Yens"
"1147","Wilbert Harrison"
"1148","24-7 Spyz"
"1149","Darwin's Waiting Room"
"1150","The Waxies Dargle"
"1151","Stockholm Cyclo"
"1152","Pharaoh Overlord"
"1153","Sian Alice Group"
"1154","Theodor Zox"
"1155","Rodney Jones"
"1156","Shanadoo"
"1157","The Jewels"
"1158","Aghast View"
"1159","Judie Tzuke"
"1160","Tim Burgess"
"1161","The Buff Medways"
"1162","Grey Holiday"
"1163","New Birth Brass Band"
"1164","dmt"
"1165","Turn Pale"
"1166","Fun 'Da' Mental"
"1167","Analogue Brain"
"1168","Cdatakill"
"1169","Schneider Tm"
"1170","Do Me Bad Things"
"1171","S Club"
"1172","Loko"
"1173","Pliers"
"1174","Admiral Bailey"
"1175","Second Skin"
"1176","Thee S.T.P."
"1177","The Dylans"
"1178","Rising Sons"
"1179","Cities"
"1180","Blake Baxter"
"1181","Dynarec"
"1182","Nick Barker"
"1183","Jack Radics"
"1184","LMC vs U2"
"1185","Democustico"
"1186","Jet Set Satellite"
"1187","Victoria Williams"
"1188","Aquarian Dream"
"1189","Cody McCarver"
"1190","üNN"
"1191","Cockney Rebel"
"1192","Sheila Walsh"
"1193","Dr. Calypso"
"1194","Rubin Steiner"
"1195","Jah Wobble's Invaders Of The Heart"
"1196","Thunderbirds Are Now!"
"1197","Make Good Your Escape"
"1198","Seija Simola"
"1199","Young Fresh Fellows"
"1200","Joe Liggins / The Honeydrippers"
"1201","Dance With A Stranger"
"1202","El Chaval De La Peca"
"1203","The Bluestation"
"1204","Heavenly States"
"1205","Greg Osby"
"1206","Big Maybelle"
"1207","Lord Kitchener"
"1208","Harry Pussy"
"1209","Alexkid"
"1210","Bass Junkie"
"1211","Kreidler"
"1212","Aphasia"
"1213","Betül Demir"
"1214","Sweet Billy Pilgrim"
"1215","That Petrol Emotion"
"1216","Caddillac Tah"
"1217","2 Fabiola"
"1218","Mighty Sam McClain"
"1219","Pete Belasco"
"1220","Trapeze"
"1221","Sinai Beach"
"1222","Southern Gentlemen"
"1223","Osibisa"
"1224","Talitha Mackenzie"
"1225","Li'l Cap'n Travis"
"1226","Rodolphe Burger"
"1227","T-Spoon"
"1228","BeauSoleil"
"1229","Random Factor"
"1230","Manolito Simonet y su Trabuco"
"1231","Chris Farlowe"
"1232","Distorted Minds"
"1233","Nuclear Ramjet"
"1234","Cosmic Rough Riders"
"1235","Bettye Swann"
"1236","Bloody Sunday"
"1237","Audience"
"1238","Rattlemouth"
"1239","Carey Bell"
"1240","King Diamond & Black Rose"
"1241","Miriodor"
"1242","Single Gun Theory"
"1243","The Men They Couldn't Hang"
"1244","Goasia"
"1245","The Fever"
"1246","Fever"
"1247","Exillon"
"1248","Deborah Coleman"
"1249","The Kingstonians"
"1250","The Aqua Velvets"
"1251","Mungo"
"1252","Wayne Fontana / The Mindbenders"
"1253","Bill Medley"
"1254","Thin White Rope"
"1255","Chris Stills"
"1256","The Court & Spark"
"1257","Jesse Sykes & The Sweet Hereafter"
"1258","Unni Wilhelmsen"
"1259","Vox Celesta"
"1260","La Maquina De Hacer Pájaros"
"1261","Prurient"
"1262","Cochi e Renato"
"1263","Archer Prewitt"
"1264","The Ghouls"
"1265","Fred Ventura"
"1266","Bah Samba"
"1267","Prince Far I & The Arabs"
"1268","The Wild Swans"
"1269","Lucky Millinder"
"1270","Debbie Reynolds & Female Cast"
"1271","2nd II None"
"1272","Abbacadabra"
"1273","The Rain Parade"
"1274","Rain Parade"
"1275","Stan Freberg"
"1276","Ras Michael and the Sons of Negus"
"1277","True West"
"1278","Fleming & John"
"1279","Atomic Swing"
"1280","Astralasia"
"1281","Triinu Kivilaan"
"1282","Flaminio Maphia"
"1283","Phil Harris"
"1284","Moskwa TV"
"1285","Racey"
"1286","Stéphane Picq"
"1287","The Lilac Time"
"1288","The Konki Duet"
"1289","Sandrine"
"1290","Mekon feat. Lesley Winer"
"1291","Tepr"
"1292","Reminiscence quartet"
"1293","The Autumns"
"1294","Sam Baker"
"1295","Superheist"
"1296","Martin Carthy"
"1297","Johnny Pacheco"
"1298","Fickle Public"
"1299","Ray Dee Ohh"
"1300","Astrosoniq"
"1301","The Amalgamation Of Soundz"
"1302","Barkmarket"
"1303","Sons Of Bill"
"1304","Del The Funky Homosapien"
"1305","Alan Replica"
"1306","Speech"
"1307","The Crimea"
"1308","Moistboyz"
"1309","Spinal Tap"
"1310","Valis"
"1311","Andrew Vasquez"
"1312","La Tropa F"
"1313","Necessary Response"
"1314","Comecon"
"1315","Peter Manjarrés & Franco Argüelles"
"1316","Ulla Meinecke"
"1317","Son Kite"
"1318","Candy Lo"
"1319","NRA"
"1320","Aaron Sprinkle"
"1321","Red Foley"
"1322","Gérard Manset"
"1323","Gina X Performance"
"1324","Frank Boeijen Groep"
"1325","Teargas & Plateglass"
"1326","Six Finger Satellite"
"1327","Die Arbeitslosen Bauarbeiter"
"1328","Sloppy Meateaters"
"1329","Los Compadres"
"1330","Kokomo Arnold"
"1331","Fred Fortin"
"1332","Nucleus Roots"
"1333","Steve Porter"
"1334","Lukas Hilbert"
"1335","Jonah Martanga"
"1336","Vorpal"
"1337","Debbie Davies"
"1338","Shape Of Broad Minds"
"1339","Tiny Dancers"
"1340","Showaddywaddy"
"1341","Aberdeen"
"1342","Whale"
"1343","B21"
"1344","Christian Burkhardt"
"1345","Fred Astaire & Ginger Rogers"
"1346","Andy McCoy"
"1347","Sonora Santanera"
"1348","Beverley Knight"
"1349","Julian Fane"
"1350","Commander Tom"
"1351","Romero Lubambo"
"1352","Grand Analog"
"1353","Damage Control"
"1354","Hail Social"
"1355","James Darren"
"1356","Sugarman 3"
"1357","George Morgan"
"1358","Eberhard Weber"
"1359","Norman Bass"
"1360","Megaptera"
"1361","King Britt"
"1362","Belgian Asociality"
"1363","Polmo Polpo"
"1364","The Jazz Crusaders"
"1365","Cali"
"1366","Juliet Jonesin Sydan"
"1367","Divinity Destroyed"
"1368","Antigone Rising"
"1369","Dave Angel"
"1370","Scienz of Life"
"1371","Winter Solstice"
"1372","Falling Sickness"
"1373","Megablast"
"1374","Les Sexareenos"
"1375","The Ejected"
"1376","Richard ""Groove"" Holmes"
"1377","Blasted Mechanism"
"1378","DJ Vix"
"1379","Max Melvin"
"1380","Barry Blue"
"1381","SIGNAL AOUT 42"
"1382","Les McCann"
"1383","Haley Bonar"
"1384","David Houston"
"1385","De Kreuners"
"1386","Pierre de Reeder"
"1387","Duo Live"
"1388","Bramhall"
"1389","Eleanor McEvoy"
"1390","Brujeria"
"1391","Boyracer"
"1392","Liliana Herrero"
"1393","Lemonator"
"1394","Gertrudis"
"1395","Pure Adrenalin"
"1396","Flux of Pink Indians"
"1397","Margaret Whiting"
"1398","Marvin Hamlisch"
"1399","Peter Blegvad"
"1400","Oscar Mulero"
"1401","Jon Lucien"
"1402","Marco Parente"
"1403","Necronomicon"
"1404","STEEL PROPHET"
"1405","Riserva Moac"
"1406","Alexis HK"
"1407","Vainica Doble"
"1408","Tod Dockstader"
"1409","Magnapop"
"1410","Rubyhorse"
"1411","Spiral Beach"
"1412","Flaming Stars"
"1413","Interlope"
"1414","Fatima Mansions"
"1415","Lonnie Plaxico"
"1416","Dive"
"1417","Your Hero"
"1418","The Special AKA"
"1419","Blood On The Wall"
"1420","7 Year Rabbit Cycle"
"1421","Joanie Sommers"
"1422","Pegz"
"1423","Lee Wiley"
"1424","Pallas"
"1425","Animal Cannibals"
"1426","Ice"
"1427","Dub Resistance"
"1428","Gods of Blitz"
"1429","Remedios Amaya"
"1430","Liane Foly"
"1431","Hurricane"
"1432","Toshinori Kondo"
"1433","Collection d'Arnell Andréa"
"1434","Acid Casuals"
"1435","Insides"
"1436","Honeyroot"
"1437","Tyondai Braxton"
"1438","Ekkohaus"
"1439","Lolita Storm"
"1440","El Pino and the Volunteers_ El Pino & the Volunteers"
"1441","Zegunder"
"1442","Frank Chacksfield"
"1443","Family Four"
"1444","Cex"
"1445","Drums & Tuba"
"1446","Slim Gaillard"
"1447","Sundial Aeon"
"1448","Frisco Kid"
"1449","Pride Of Lions"
"1450","Negative Format"
"1451","Tokyo Black Star"
"1452","Skytech"
"1453","Dan Zanes Feat. Donald Saaf"
"1454","Dan Zanes_Friends"
"1455","The Jai-Alai Savant"
"1456","Q-Burns Abstract Message & Lisa Shaw"
"1457","The Hit Parade"
"1458","Eden's Curse"
"1459","Fausto"
"1460","Safi Connection"
"1461","Dick Gaughan"
"1462","Doctor Butcher"
"1463","Joe South"
"1464","Herman Brood & His Wild Romance"
"1465","Edward Martin and Paul Berget"
"1466","The Long Ryders"
"1467","2Cents"
"1468","William Elliott Whitmore"
"1469","Der Plan"
"1470","Issa Bagayogo"
"1471","Jori Hulkkonen"
"1472","Vincent De Moor"
"1473","Magic Bullets"
"1474","Karin Krog"
"1475","Call And Response"
"1476","Hockey Night"
"1477","Alex North_ Jerry Goldsmith_ The National Philharmonic Orchestra"
"1478","Mike Bloomfield"
"1479","Allan Sherman"
"1480","Steffen Basho-Junghans"
"1481","Seven Day Jesus"
"1482","Roebeck"
"1483","Sick City"
"1484","SCHMOELLING_ JOHANNES"
"1485","Johannes Schmoelling"
"1486","Carleen Anderson"
"1487","Gene Harris And The Three Sounds"
"1488","Pyrolator"
"1489","The So So Glos"
"1490","Jay McShann and His Orchestra & Charlie Parker"
"1491","Arthur & Yu"
"1492","Kenso"
"1493","Carlos Santana & Mahavishnu John McLaughlin"
"1494","Krista Detor"
"1495","Martin Simpson"
"1496","The New Lost City Ramblers"
"1497","STORMWITCH"
"1498","Dolores Keane"
"1499","Natalia y La Forquetina"
"1500","Lull"
"1501","Tone Depth"
"1502","T-Connection"
"1503","Ilsa Gold"
"1504","Sentidos Opuestos"
"1505","Africando All Stars"
"1506","The Bluebells"
"1507","Stephen Simmonds"
"1508","Stonewall Jackson"
"1509","Ute Lemper"
"1510","Love/Hate"
"1511","Thierry Hazard"
"1512","Rachel Sweet"
"1513","Reuben Wilson"
"1514","The Woodentops"
"1515","BMX Bandits"
"1516","Blac Haze"
"1517","Tal Farlow"
"1518","Babe Ruth"
"1519","The Bristols"
"1520","Bally Sagoo"
"1521","Holger Biege"
"1522","Earl Hooker"
"1523","Cómplices"
"1524","The Edgar Broughton Band"
"1525","Mafia K'1 Fry"
"1526","Saccharine Trust"
"1527","Foot Village"
"1528","Amplified Heat"
"1529","Alternative TV"
"1530","Brother Beyond"
"1531","Sam Paglia"
"1532","Daddy Freddy"
"1533","Eurogliders"
"1534","Kreesha Turner"
"1535","Julie Miller"
"1536","Lens"
"1537","Plastique Noir"
"1538","Ultima Bleep"
"1539","Arc Angels"
"1540","Big Muff"
"1541","Eddie Boyd"
"1542","Hell On Wheels"
"1543","Karan Casey"
"1544","The Neon Judgement"
"1545","Thinking Plague"
"1546","Neon Blonde"
"1547","Vincent Vallières"
"1548","TOMMI LÄNTINEN"
"1549","Syreeta / G.C. Cameron"
"1550","Christina Rosenvinge"
"1551","Guillaume & The Coutu Dumonts"
"1552","Jackie Gleason"
"1553","Marcilo Agro e il Duo Maravilha"
"1554","The Van Pelt"
"1555","Dr. Ring-Ding & The Senior Allstars"
"1556","Alberta Hunter"
"1557","The Darkside"
"1558","Compulsion"
"1559","Caleb Rowden"
"1560","Hazell Dean"
"1561","The Bank Holidays"
"1562","Francisco Cespedes"
"1563","Francisco Céspedes"
"1564","Sonia Dersion"
"1565","Icecream Hands"
"1566","LeggoBeast"
"1567","Tim Wilson"
"1568","Savas Pascalidis"
"1569","Joe Bataan"
"1570","The Loud Family"
"1571","Fagget Fairys"
"1572","Goombay Dance Band"
"1573","Big Boss Man"
"1574","The Shermans"
"1575","Tomcraft"
"1576","Ninety Pound Wuss"
"1577","Masters Of The Hemisphere"
"1578","Chasing Furies"
"1579","Spacetime Continuum With Terence McKenna"
"1580","Mighty Mo Rodgers"
"1581","debbie rockt!"
"1582","3rd Force"
"1583","Shirley Collins"
"1584","My Darling YOU!"
"1585","The Aztext"
"1586","Jean Jacques Perrey"
"1587","Stephanie McIntosh"
"1588","Paul Cantelon"
"1589","Sarah Cracknell"
"1590","Thou Art Lord"
"1591","Larry Graham & Graham Central Station"
"1592","Judd & Maggie"
"1593","D.R.S."
"1594","Saturday's Heroes"
"1595","Air Liquide"
"1596","Memphis Jug Band"
"1597","Binomio de Oro de América"
"1598","The Golden Palominos"
"1599","Clatterbox"
"1600","Sérgio Godinho"
"1601","The High Dials"
"1602","Sonya Kitchell"
"1603","Duesenjaeger"
"1604","Judith Owen"
"1605","Patrick Street"
"1606","Josh White"
"1607","Larry Norman"
"1608","Icons of Filth"
"1609","Atoll"
"1610","Cerys Matthews"
"1611","Jaime Roos"
"1612","Camiel"
"1613","Nick Heyward"
"1614","Thurston Harris"
"1615","Warrior Soul"
"1616","Tanya Donelly"
"1617","Unshine"
"1618","Zentriert Ins Antlitz"
"1619","Pluto"
"1620","Even As We Speak"
"1621","Diego ""El Cigala"
"1622","Robert Belfour"
"1623","Roscoe"
"1624","Band Of Susans"
"1625","Racebannon"
"1626","Wayne Watson"
"1627","The Watersons"
"1628","Joey Scarbury"
"1629","Stephen Warbeck"
"1630","Carl Smith"
"1631","Professor Murder"
"1632","Tin Tin Out"
"1633","Urban Priol"
"1634","Sugarbomb"
"1635","Urban Cookie Collective"
"1636","DJ Deeon"
"1637","Let's Go Sailing"
"1638","The Gonads featuring Kid Punk"
"1639","Joe Higgs"
"1640","EN VOICE"
"1641","Anne Dudley"
"1642","The Gerbils"
"1643","L-Kan"
"1644","Appendix Out"
"1645","Joi Cardwell"
"1646","The Fourmost"
"1647","Daniel Boone"
"1648","Kingmaker"
"1649","Moe Tucker"
"1650","One Man Army"
"1651","Café Quijano"
"1652","Fudge Tunnel"
"1653","Shit and Shine"
"1654","Mory Kanté"
"1655","Fisk Industries"
"1656","Ronald Christoph"
"1657","Mr. Airplane Man"
"1658","Kary Ng"
"1659","Aeroblus"
"1660","Sub Bass Monster"
"1661","Tiro De Gracia"
"1662","Soul G And Tony Match"
"1663","Klaus Doldinger"
"1664","The Plus Ones"
"1665","Soul Embraced"
"1666","Dangerman"
"1667","9th Prince"
"1668","Chelsea"
"1669","Christopher Franke"
"1670","Loop Guru"
"1671","Astarte"
"1672","3 Gars Su'l Sofa"
"1673","Poi Dog Pondering"
"1674","Les Fils de Teuhpu"
"1675","Grant McLennan"
"1676","Sleepy John Estes"
"1677","Novy Svet"
"1678","Asia 2001"
"1679","Sonny Criss"
"1680","Fastbacks"
"1681","Nelson Cavaquinho"
"1682","Wild Billy Childish & The Musicians of the British Empire"
"1683","Wild Billy Childish And The Musicians Of The British Empire"
"1684","Rupert Hine"
"1685","Matteah Baim"
"1686","Lionrock"
"1687","Herbst9"
"1688","Headscan"
"1689","Trio Elétrico"
"1690","Rob Swift"
"1691","DJ Liquid"
"1692","True Lies"
"1693","Nightfall"
"1694","Elliott Murphy"
"1695","Loren Connors"
"1696","Almedal"
"1697","Cherie"
"1698","Kenny Rogers And Dottie West"
"1699","Bernard Lavilliers"
"1700","Terry Linen"
"1701","Thavius Beck"
"1702","Eugene McGuinness"
"1703","Bintangs"
"1704","Ana Belén"
"1705","Black Time"
"1706","Francoiz Breut"
"1707","SubArachnoid Space"
"1708","Would Be Goods"
"1709","Electro deluxe"
"1710","Starbreaker"
"1711","Leaders Of The New School"
"1712","Kannon"
"1713","Too Much Joy"
"1714","Pooh"
"1715","Rob Threezy"
"1716","Kiln"
"1717","Knives Exchanging Hands"
"1718","Last Exit"
"1719","Code Of Ethics"
"1720","Foxy"
"1721","Burning Sky"
"1722","Michael Allen Harrison"
"1723","Hevia"
"1724","Josey Wales"
"1725","Wibutee"
"1726","Report Suspicious Activity"
"1727","Mr.Cheeks"
"1728","Government Issue"
"1729","16 Frames"
"1730","The Creation"
"1731","HOLLY DUNN"
"1732","Walter Becker"
"1733","Lorez Alexandria"
"1734","System and Station"
"1735","Steven Delopoulos"
"1736","Christian Smith and John Selway"
"1737","Paatos"
"1738","Geri Allen"
"1739","Spencer Brewer"
"1740","Gruppo Sportivo"
"1741","Quarteto Em Cy"
"1742","Circular"
"1743","1910 Fruitgum Company"
"1744","Craig's Brother"
"1745","Texas Faggott"
"1746","Color Filter"
"1747","Blessure Grave"
"1748","Illinois Jacquet"
"1749","Ten City"
"1750","PUNGENT STENCH"
"1751","Coph Nia"
"1752","Musetta"
"1753","Jeff Golub"
"1754","Akela"
"1755","Svadbas"
"1756","Dub Specialist"
"1757","Girls At Our Best!"
"1758","Andrea"
"1759","Defari"
"1760","Duncan Browne"
"1761","Year Of The Rabbit"
"1762","Il Balletto Di Bronzo"
"1763","Tilman Ehrhorn"
"1764","Jeff Lang"
"1765","Shooting At Unarmed Men"
"1766","Sweet Trip"
"1767","Max Steiner"
"1768","Three O'Clock"
"1769","Fishboy"
"1770","Frank Martiniq"
"1771","Robin Williamson"
"1772","Svenson & Gielen"
"1773","Blind Dog"
"1774","Roy Hargrove Quintet"
"1775","Envelopes"
"1776","Benton Falls"
"1777","Oforia"
"1778","Cross Country"
"1779","A Shoreline Dream"
"1780","Ride The Sky"
"1781","Loner"
"1782","Marie Lindberg"
"1783","Kaci Brown"
"1784","Con & Dec_ The Bachelors"
"1785","Hugh Cornwell"
"1786","Rob Sonic"
"1787","Eko Fresh feat. Bushido"
"1788","Eko Fresh feat. Tha Outlawz"
"1789","Eko Fresh feat. Mo"
"1790","Spymob"
"1791","Toby Tobias"
"1792","J. B. Lenoir"
"1793","Plastic Noise Experience"
"1794","Toto Cutugno"
"1795","The Fine Arts Showcase"
"1796","PRE"
"1797","Janis Martin"
"1798","The Inmates"
"1799","The Dream Syndicate"
"1800","On Thorns I Lay"
"1801","Team Dresch"
"1802","Cora E."
"1803","The Idle Race"
"1804","Billy Thorpe"
"1805","Scott Henderson"
"1806","Jan & Dean"
"1807","Deviates"
"1808","Zebda"
"1809","The Klezmatics"
"1810","Wild Strawberries"
"1811","Element 101"
"1812","Bentley Rhythm Ace"
"1813","Gowan"
"1814","A Few Good Men"
"1815","Gérald de Palmas"
"1816","Winter Took His Life"
"1817","Liberty X"
"1818","Garden Variety"
"1819","Roosevelt Sykes"
"1820","Extol"
"1821","Olodum"
"1822","Hixxy"
"1823","Nora Dean"
"1824","Dann Huff"
"1825","Karkkiautomaatti"
"1826","Farm Fresh"
"1827","Kaipa"
"1828","The Out Crowd"
"1829","B12"
"1830","Rebecka Törnqvist"
"1831","Supreme Court"
"1832","Ann Christy"
"1833","Compulsive Gamblers"
"1834","BRiGHT"
"1835","Captain & Tennille"
"1836","Articles Of Faith"
"1837","Pony Up!"
"1838","7 Notas 7 Colores"
"1839","Audion"
"1840","Triumvirat"
"1841","Drive-By Argument"
"1842","The Physics of Meaning"
"1843","Jay Ferguson"
"1844","Tom Brosseau"
"1845","The Beat Farmers"
"1846","Miossec"
"1847","Mila Mason"
"1848","Supreme Majesty"
"1849","Uzeb"
"1850","The Headhunters"
"1851","Spider Murphy Gang"
"1852","Stockholm Monsters"
"1853","Chicken Shack"
"1854","Kath Bloom"
"1855","The Wolfgang Press"
"1856","Niacin"
"1857","Chad & Jeremy"
"1858","Deep Puddle Dynamics"
"1859","Janek Schaefer"
"1860","Nicola Arigliano"
"1861","Drink To Me"
"1862","Jean Claude Ades & Vincent Thomas ft. Sam Obernik"
"1863","Run Level Zero"
"1864","John Lurie"
"1865","The Supremes / Four Tops"
"1866","Hank Marvin"
"1867","Substantial"
"1868","KJ Sawka"
"1869","Webb Pierce"
"1870","Country Joe McDonald"
"1871","Narco"
"1872","Gazzara"
"1873","Dave Van Ronk"
"1874","Galliano"
"1875","Voltio"
"1876","André Herman Düne"
"1877","T-Model Ford"
"1878","The Cruel Sea"
"1879","Bottom Of The Hudson"
"1880","Strongarm"
"1881","Fat Worm of Error"
"1882","Albert Ammons"
"1883","Pyranja"
"1884","Lady Bug Transistor"
"1885","The Ladybug Transistor"
"1886","One Man Army And The Undead Quartet"
"1887","Suburban Tribe"
"1888","Guasones"
"1889","George Morel"
"1890","Atomic Hooligan"
"1891","Pedro Infante"
"1892","Beyond The Embrace"
"1893","The Eternal Afflict"
"1894","Oliver Nelson"
"1895","Oliver Nelson / Joe Newman"
"1896","Paul Dianno"
"1897","Sandra Mihanovich"
"1898","Eddie & The Hot Rods"
"1899","Sara Lov"
"1900","Vendetta Red"
"1901","Stephy Tang"
"1902","Modulate"
"1903","B.T. Express"
"1904","It's A Musical"
"1905","Tuff"
"1906","Roedelius"
"1907","Monodeluxe"
"1908","Brooke Valentine"
"1909","Jacques Higelin"
"1910","Sintax the Terrific"
"1911","Erma Franklin"
"1912","Thee Headcoats"
"1913","Sole & the Skyrider Band"
"1914","Boy Omega"
"1915","Eric Burdon"
"1916","Nino Bravo"
"1917","Dismal Euphony"
"1918","Nelson Rangell"
"1919","Bochum Welt"
"1920","The Plasmatics"
"1921","Curved Air"
"1922","John Starlight"
"1923","Radka Toneff"
"1924","Anita Ward"
"1925","Moqui Marbles"
"1926","Antonio MacHin"
"1927","love like blood"
"1928","Lori Carson"
"1929","Guerilla Black featuring Nate Dogg"
"1930","Guerilla Black featuring Alex Thomas"
"1931","Guerilla Black"
"1932","Go Lem System"
"1933","Jon Redfern"
"1934","The Tremeloes"
"1935","To Rococo Rot And I-Sound"
"1936","Koyi K Utho"
"1937","The Salteens"
"1938","Tracie Spencer"
"1939","Sunship"
"1940","Chico Cesar"
"1941","Duquende"
"1942","Joe Veras"
"1943","Billy Fury"
"1944","Bedlight For Blue Eyes"
"1945","The Mermen"
"1946","Mongo Santamaria"
"1947","Domu"
"1948","Palito Ortega"
"1949","Blind Boy Fuller"
"1950","Gregor Meyle"
"1951","The Young Lovers"
"1952","In Case Of Fire"
"1953","Wayne Jarrett"
"1954","Evereve"
"1955","Charlelie Couture"
"1956","Sprites"
"1957","Wade Hayes"
"1958","The Christians"
"1959","Pluto Project"
"1960","VARGO feat. Dan Millman"
"1961","Kalibas"
"1962","Coyote Oldman"
"1963","Raimundo Amador"
"1964","Reeko"
"1965","Moxy Fruvous"
"1966","Airliner"
"1967","Eksi Ekso"
"1968","Sunshine Blind"
"1969","Pajama Party"
"1970","Trinere"
"1971","Leo Ku"
"1972","Memphis Minnie"
"1973","Nicho Hinojosa"
"1974","Ghislain Poirier"
"1975","Michael Whalen"
"1976","Eden Maine"
"1977","Virtuocity"
"1978","These United States"
"1979","Riva"
"1980","Opgeduveld"
"1981","Radikal Dub Kolektiv"
"1982","Luciana Souza"
"1983","Apache Indian"
"1984","Greenleaf"
"1985","The Aluminum Group"
"1986","Supermachiner"
"1987","Lost Dogs"
"1988","Mousse T. with Roachford"
"1989","Mithotyn"
"1990","Javier Solis"
"1991","The Moffatts"
"1992","Funky DL"
"1993","Monster Movie"
"1994","Jack Endino"
"1995","Modern Skirts"
"1996","Hatfield And The North"
"1997","Sean Finn feat. Mia Moore"
"1998","Órla Fallon"
"1999","Betchadupa"
"2000","Kraan"
"2001","Cirith Ungol"
"2002","Magistrates"
"2003","Jim Chappell"
"2004","Necromantia"
"2005","Layzie Bone"
"2006","Roy Montgomery"
"2007","Minimum Vital"
"2008","Sense Field"
"2009","Sonny Clark"
"2010","Ultra Vivid Scene"
"2011","My Little Pony"
"2012","Javier Krahe"
"2013","Mike Francis"
"2014","Paul Haslinger"
"2015","Ballboy"
"2016","Chaotic Dischord"
"2017","Kerkko Koskinen"
"2018","DJ Cheb I Sabbah"
"2019","Rachael McShane"
"2020","Château Flight"
"2021","Carman"
"2022","Korby Lenker"
"2023","Cale Parks"
"2024","Ammoncontact featuring Sach"
"2025","Ammoncontact featuring Imiuswi"
"2026","Primitive Radio Gods"
"2027","Asteroid featuring DJ Mike Strip"
"2028","Katia B"
"2029","Children On Stun"
"2030","Captain Hollywood Project"
"2031","Freddy Fader"
"2032","Latin Quarter"
"2033","Ronnie Earl & the Broadcasters"
"2034","Byther Smith"
"2035","Jimmy Shubert"
"2036","The Embarrassment"
"2037","David Darling"
"2038","Lee Ranaldo"
"2039","hey Negrita"
"2040","Model 500"
"2041","Sexton Blake"
"2042","Billy Ze Kick et Les Gamins En Folie"
"2043","Pipedown"
"2044","Gary Puckett & The Union Gap"
"2045","JFC"
"2046","Janitor Joe"
"2047","Scorch Trio"
"2048","Ohm-G"
"2049","Danny Wilson"
"2050","Sir Douglas Quintet"
"2051","Svenne Rubins"
"2052","Chick Corea Elektric Band"
"2053","El Hombre Burbuja"
"2054","The Jim Yoshii Pile-up"
"2055","Moca"
"2056","Hugues Aufray"
"2057","Parts & Labor"
"2058","God Lives Underwater"
"2059","13 Cats"
"2060","Hins Cheung"
"2061","Bata Illic"
"2062","Giorgio Gaber"
"2063","Isabel Pantoja"
"2064","Samara Lubelski"
"2065","Las Ketchup"
"2066","Cadet"
"2067","Pop Levi"
"2068","Brand X"
"2069","Diamanda Galas"
"2070","John Frusciante/Josh Klinghoffer"
"2071","Daisy Chainsaw"
"2072","Savath & Savalas"
"2073","Huntingtons"
"2074","The Weather Girls"
"2075","Florent Pagny / Carlos Gardel"
"2076","Stephin Merritt"
"2077","Major Lance"
"2078","Coughs"
"2079","Domine"
"2080","Leonard Rosenman"
"2081","Fra Lippo Lippi"
"2082","Ron Basejam"
"2083","Guana Batz"
